age,industry,gender,race,job,timestamp,experience_overall_years,experience_field_years,education
45-54,"Accounting, Banking & Finance",Woman,White,Manager - HR Business Analytics,11/28/2021 15:07:22,8 - 10 years,8 - 10 years,PhD
25-34,Nonprofits,Woman,White,Program Manager,4/27/2021 16:07:45,8 - 10 years,8 - 10 years,College degree
35-44,Nonprofits,Woman,White,Director,4/29/2021 10:11:03,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,"Marketing, Advertising & PR",Woman,White,Community Development Officer,4/27/2021 17:45:09,5-7 years,2 - 4 years,College degree
25-34,Engineering or Manufacturing,Woman,White,Mechanical Engineer ,4/27/2021 12:09:41,8 - 10 years,8 - 10 years,Master's degree
18-24,Computing or Tech,Woman,White,Associate DevOps Engineer,4/28/2021 23:00:18,2 - 4 years,2 - 4 years,College degree
25-34,Health care,Woman,White,Pharmacist,4/29/2021 13:28:22,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
35-44,Engineering or Manufacturing,Man,White,Security Architect ,4/29/2021 17:59:41,21 - 30 years,8 - 10 years,College degree
35-44,Insurance,Woman,White,"Director, Talent Development",4/30/2021 15:37:24,11 - 20 years,11 - 20 years,Master's degree
45-54,Recruitment or HR,Woman,White,HR systems analyst,4/27/2021 11:42:35,21 - 30 years,21 - 30 years,College degree
35-44,Nonprofits,Man,White,Program Director ,4/27/2021 13:28:51,11 - 20 years,11 - 20 years,College degree
35-44,Computing or Tech,Man,White,Support Operations Specialist,4/29/2021 0:25:05,8 - 10 years,2 - 4 years,High School
45-54,Computing or Tech,Woman,White,Product Owner,4/30/2021 18:36:19,8 - 10 years,2 - 4 years,College degree
35-44,Art & Design,Woman,White,Graphic artist ,4/27/2021 12:03:12,11 - 20 years,11 - 20 years,College degree
25-34,Health care,Woman,White,Senior software engineer,4/28/2021 13:47:02,8 - 10 years,5-7 years,College degree
18-24,Computing or Tech,Woman,White,Software engineer,4/29/2021 10:07:16,2 - 4 years,1 year or less,College degree
35-44,Health care,Man,Another option not listed here or prefer not to answer,Consultant,4/27/2021 11:11:24,11 - 20 years,5-7 years,College degree
25-34,"Marketing, Advertising & PR",Woman,White,Senior Global Content Strategist,4/28/2021 17:05:06,5-7 years,5-7 years,College degree
35-44,Health care,Woman,Asian or Asian American,Systems analyst,4/27/2021 11:40:46,21 - 30 years,21 - 30 years,College degree
35-44,Health care,Woman,White,Occupational therapist ,4/27/2021 13:23:47,8 - 10 years,5-7 years,Master's degree
25-34,Government and Public Administration,Woman,White,Assistant Legal Counsel,4/27/2021 15:32:58,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
35-44,Nonprofits,Woman,White,Deputy Director,4/27/2021 12:49:16,11 - 20 years,8 - 10 years,College degree
25-34,Education (Higher Education),Woman,White,Processing Archivist and Records Manager,4/27/2021 14:59:07,2 - 4 years,2 - 4 years,Master's degree
25-34,Pharmaceuticals ,Woman,White,Scientist,10/26/2021 12:24:02,1 year or less,1 year or less,PhD
25-34,Media & Digital,Woman,White,Editor,4/29/2021 19:15:19,8 - 10 years,8 - 10 years,Master's degree
25-34,Business or Consulting,Woman,White,Consultant,4/27/2021 11:45:36,8 - 10 years,8 - 10 years,Master's degree
25-34,"Accounting, Banking & Finance",Woman,White,Grants Coordinator B,4/29/2021 18:42:38,8 - 10 years,2 - 4 years,College degree
35-44,Business or Consulting,Woman,White,Executive Assistant ,4/27/2021 19:19:25,21 - 30 years,11 - 20 years,Some college
35-44,Nonprofits,Man,White,Business Development Manager,4/29/2021 9:46:18,11 - 20 years,11 - 20 years,Master's degree
25-34,"Accounting, Banking & Finance",Woman,White,Manager Financial Reporting,5/10/2021 14:25:52,8 - 10 years,8 - 10 years,Master's degree
25-34,Hospitality & Events,Woman,White,Analyst,5/19/2021 11:40:53,8 - 10 years,5-7 years,Master's degree
25-34,Property or Construction,Man,"Asian or Asian American, White",Project Engineer,10/26/2021 13:17:56,2 - 4 years,1 year or less,College degree
25-34,Property or Construction,Woman,White,"Project Manager, Real Estate Development",4/28/2021 21:01:58,8 - 10 years,2 - 4 years,Master's degree
25-34,Hospitality & Events,Woman,White,Beverage manager,4/30/2021 18:03:45,8 - 10 years,5-7 years,College degree
35-44,Computing or Tech,Man,White,Programmer,4/28/2021 20:51:05,2 - 4 years,2 - 4 years,College degree
25-34,Health care,Woman,White,Doctor's Assistant ,4/27/2021 16:03:07,11 - 20 years,5-7 years,College degree
25-34,Computing or Tech,Man,Asian or Asian American,Software Engineer,4/29/2021 9:28:52,8 - 10 years,8 - 10 years,College degree
18-24,Nonprofits,Non-binary,Asian or Asian American,Secretary,4/27/2021 11:43:01,1 year or less,1 year or less,College degree
45-54,Computing or Tech,Man,White,Lead Platform Engineer,4/28/2021 15:51:41,31 - 40 years,31 - 40 years,Master's degree
55-64,Education (Primary/Secondary),Woman,White,Assistant Residential Dean,4/27/2021 12:49:41,11 - 20 years,2 - 4 years,Some college
45-54,Utilities & Telecommunications,Man,White,Program manager,4/27/2021 18:09:12,21 - 30 years,11 - 20 years,Master's degree
18-24,Mortgage,Woman,White,Mortgage Processor,4/27/2021 14:18:49,2 - 4 years,2 - 4 years,High School
25-34,Real Estate,Woman,"Hispanic, Latino, or Spanish origin, White",Social Media & Marketing Coordinator,4/27/2021 12:16:14,11 - 20 years,8 - 10 years,College degree
45-54,Education (Higher Education),Woman,"Hispanic, Latino, or Spanish origin, White",Finance Specialist,4/29/2021 10:11:37,21 - 30 years,2 - 4 years,Some college
25-34,Education (Higher Education),Woman,White,Research Assistant,4/28/2021 14:42:50,1 year or less,1 year or less,Master's degree
35-44,Education (Higher Education),Woman,White,Special events,4/30/2021 18:42:07,11 - 20 years,11 - 20 years,Master's degree
25-34,"Accounting, Banking & Finance",Man,White,Revenue accountant,5/1/2021 11:25:31,2 - 4 years,2 - 4 years,College degree
45-54,Education (Higher Education),Woman,White,Adjunct Instructor,4/30/2021 20:48:36,2 - 4 years,2 - 4 years,College degree
35-44,"Accounting, Banking & Finance",Woman,White,Finance Director ,4/30/2021 21:04:10,11 - 20 years,11 - 20 years,College degree
35-44,"Accounting, Banking & Finance",Woman,White,Controller,4/28/2021 17:47:30,11 - 20 years,8 - 10 years,Master's degree
35-44,Social Work,Woman,"Hispanic, Latino, or Spanish origin, White",Program Director,4/27/2021 11:11:20,11 - 20 years,5-7 years,Master's degree
35-44,Nonprofits,Woman,White,Public Library Manager (Librarian III),4/27/2021 13:09:04,11 - 20 years,5-7 years,Master's degree
35-44,Engineering or Manufacturing,Woman,White,Product Leader - manager ,5/1/2021 13:44:04,11 - 20 years,11 - 20 years,College degree
35-44,Computing or Tech,Woman,"Black or African American, White",Executive,5/4/2021 1:21:22,5-7 years,5-7 years,PhD
25-34,Education (Primary/Secondary),Woman,White,Math Teacher,4/27/2021 16:01:45,5-7 years,5-7 years,Master's degree
25-34,Education (Higher Education),Woman,White,Director of Admissions,5/6/2021 8:39:50,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
45-54,Transport or Logistics,Woman,White,IT PROJECT MANAGER,4/30/2021 16:53:32,21 - 30 years,5-7 years,Some college
25-34,Nonprofits,Non-binary,White,Library Director,4/27/2021 14:18:09,8 - 10 years,2 - 4 years,Master's degree
25-34,Business or Consulting,Woman,White,Treasury Analyst,4/27/2021 16:00:52,8 - 10 years,2 - 4 years,Master's degree
25-34,Engineering or Manufacturing,Woman,White,Account Representative,5/3/2021 17:44:56,11 - 20 years,8 - 10 years,College degree
25-34,Engineering or Manufacturing,Other or prefer not to answer,White,Operational Planner,12/29/2021 6:55:29,5-7 years,1 year or less,College degree
35-44,Education (Higher Education),Man,White,Library Department Head,4/29/2021 16:06:23,11 - 20 years,5-7 years,Master's degree
45-54,"Marketing, Advertising & PR",Woman,White,Senior Copywriter,5/6/2021 8:52:10,21 - 30 years,11 - 20 years,Master's degree
35-44,Education (Higher Education),Woman,White,Executive Director,4/30/2021 18:50:41,8 - 10 years,8 - 10 years,PhD
18-24,Nonprofits,Woman,"Asian or Asian American, Native American or Alaska Native, White",Research Assistant ,6/1/2021 1:39:52,2 - 4 years,1 year or less,College degree
18-24,Museum,Woman,White,Collections Assistant,4/27/2021 12:29:03,2 - 4 years,2 - 4 years,College degree
35-44,Sales,Man,White,Account Director,4/28/2021 13:44:09,11 - 20 years,8 - 10 years,Master's degree
25-34,Education (Higher Education),Woman,White,Outreach specialist,5/7/2021 18:14:55,2 - 4 years,2 - 4 years,College degree
25-34,Health care,Woman,White,Optometrist,4/28/2021 22:30:14,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
35-44,Government and Public Administration,Woman,White,Education Program Specialist,4/29/2021 8:40:43,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,"Marketing, Advertising & PR",Woman,White,Account Executive,4/29/2021 13:01:33,11 - 20 years,11 - 20 years,College degree
35-44,"Marketing, Advertising & PR",Man,White,Software Engineer,4/29/2021 12:22:33,8 - 10 years,2 - 4 years,Some college
45-54,Engineering or Manufacturing,Woman,White,Chemical Engineer,5/8/2021 20:22:21,11 - 20 years,11 - 20 years,College degree
25-34,Nonprofits,Woman,White,Associate Director,5/5/2021 19:47:08,5-7 years,5-7 years,Master's degree
25-34,Computing or Tech,Man,White,Software Developer Senior Engineer,4/28/2021 17:08:17,11 - 20 years,11 - 20 years,College degree
35-44,Transport or Logistics,Woman,White,Systems Analyst,4/27/2021 11:20:18,11 - 20 years,11 - 20 years,College degree
25-34,Education (Higher Education),Woman,White,Assistant Professor,4/27/2021 17:23:01,5-7 years,5-7 years,PhD
35-44,"Marketing, Advertising & PR",Woman,White,Business development manager,4/28/2021 14:04:23,11 - 20 years,5-7 years,Master's degree
18-24,Health care,Woman,White,Home healthcare nurse ,4/28/2021 17:10:40,1 year or less,1 year or less,College degree
25-34,Social Work,Woman,White,Therapist ,4/30/2021 17:25:06,5-7 years,5-7 years,Master's degree
25-34,Computing or Tech,Man,"Asian or Asian American, White",Technical writer,5/10/2021 12:22:02,8 - 10 years,8 - 10 years,College degree
45-54,Nonprofits,Woman,Asian or Asian American,"VP, Marketing",4/28/2021 13:39:52,21 - 30 years,21 - 30 years,Master's degree
35-44,Computing or Tech,Man,White,Principal Product Manager,4/28/2021 21:06:38,21 - 30 years,21 - 30 years,College degree
35-44,"Accounting, Banking & Finance",Woman,Asian or Asian American,Relationship Manager,5/3/2021 21:02:58,11 - 20 years,8 - 10 years,Some college
35-44,Computing or Tech,Man,White,VP of Customer Success,4/27/2021 11:21:45,11 - 20 years,8 - 10 years,Master's degree
25-34,"Accounting, Banking & Finance",Woman,White,Senior Financial Analyst,4/29/2021 16:58:16,5-7 years,2 - 4 years,College degree
35-44,Educational assessment,Woman,White,Science Content Specialist II,4/28/2021 14:13:55,11 - 20 years,2 - 4 years,Master's degree
35-44,Computing or Tech,Woman,White,Software Developer,4/28/2021 22:11:19,8 - 10 years,8 - 10 years,Some college
25-34,Engineering or Manufacturing,Woman,White,Mechanical Engineering ,4/27/2021 12:42:46,8 - 10 years,5-7 years,PhD
25-34,Computing or Tech,Man,White,Senior Software Engineer,4/27/2021 16:38:04,5-7 years,5-7 years,College degree
35-44,Government and Public Administration,Man,White,Analyst,4/28/2021 20:34:36,21 - 30 years,21 - 30 years,Master's degree
35-44,"Accounting, Banking & Finance",Woman,White,Benefits Administrator,4/28/2021 17:09:07,11 - 20 years,8 - 10 years,College degree
45-54,Health care,Woman,White,Licensed massage therapist,4/27/2021 15:24:30,8 - 10 years,5-7 years,Some college
25-34,"Marketing, Advertising & PR",Woman,Black or African American,Paid Media Associate ,4/28/2021 14:50:17,2 - 4 years,2 - 4 years,College degree
35-44,"Accounting, Banking & Finance",Woman,White,Consumer Banking Relationship Manager,4/27/2021 18:53:18,11 - 20 years,11 - 20 years,Some college
25-34,Computing or Tech,Woman,White,HR Specialist,4/27/2021 11:55:56,2 - 4 years,2 - 4 years,College degree
25-34,Property or Construction,Man,White,"Senior Manager, Marketing Operations",4/30/2021 14:24:36,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Woman,White,Software Engineer,12/15/2021 10:30:37,11 - 20 years,2 - 4 years,Master's degree
18-24,Sales,Woman,Black or African American,Account Manager,4/28/2021 14:38:35,1 year or less,1 year or less,College degree
55-64,Engineering or Manufacturing,Woman,White,Customer care Representative ,4/30/2021 20:30:57,21 - 30 years,21 - 30 years,College degree
35-44,Education (Higher Education),Woman,White,"Regulatory Affairs Specialist, senior",4/27/2021 13:46:06,11 - 20 years,11 - 20 years,Master's degree
35-44,Health care,Woman,White,Program Manager II,4/27/2021 14:44:40,11 - 20 years,8 - 10 years,Master's degree
25-34,Health care,Woman,Asian or Asian American,"Senior Associate, Finance",4/30/2021 6:55:54,2 - 4 years,2 - 4 years,College degree
45-54,Insurance,Woman,White,Digital compliance ,4/27/2021 14:13:02,21 - 30 years,8 - 10 years,College degree
18-24,Media & Digital,Woman,White,Sales Planner,4/28/2021 15:29:05,2 - 4 years,2 - 4 years,College degree
25-34,Art & Design,Woman,White,Visual Designer,4/28/2021 8:54:41,11 - 20 years,8 - 10 years,College degree
45-54,"Accounting, Banking & Finance",Woman,White,Data Analyst,4/27/2021 12:12:39,11 - 20 years,5-7 years,Master's degree
45-54,Business or Consulting,Woman,"Asian or Asian American, White",Exec Dir of People Operations,5/10/2021 13:37:29,11 - 20 years,2 - 4 years,Master's degree
45-54,"Private company, federal contractor ",Woman,White,Technical writer/editor,4/27/2021 11:59:44,21 - 30 years,8 - 10 years,Master's degree
35-44,Computing or Tech,Man,"Hispanic, Latino, or Spanish origin",Software Engineer,4/28/2021 21:54:45,11 - 20 years,5-7 years,Some college
35-44,Engineering or Manufacturing,Woman,White,Administrative Assistant ,4/29/2021 12:29:05,11 - 20 years,11 - 20 years,College degree
25-34,Law,Woman,White,Appellate Judicial Law Clerk,4/27/2021 11:50:49,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
35-44,Computing or Tech,Woman,White,Legal Strategist,5/5/2021 19:47:31,11 - 20 years,8 - 10 years,College degree
45-54,Architecture / Engineering,Woman,White,Office Manager,4/27/2021 13:53:56,21 - 30 years,11 - 20 years,College degree
25-34,Computing or Tech,Man,White,Software Engineer ,4/28/2021 17:24:36,5-7 years,5-7 years,Master's degree
45-54,Computing or Tech,Woman,White,Senior Deliverablity Consultant,4/27/2021 11:42:42,21 - 30 years,11 - 20 years,Some college
45-54,Education (Higher Education),Woman,White,Associate Professor and Program Coordinator,4/27/2021 11:33:22,31 - 40 years,31 - 40 years,PhD
45-54,Media & Digital,Woman,White,managing editor,4/27/2021 15:08:48,21 - 30 years,11 - 20 years,College degree
35-44,Computing or Tech,Woman,White,Sr. Program Manager,4/27/2021 11:37:22,21 - 30 years,21 - 30 years,College degree
25-34,Education research- mix of Edtech and non profits,Woman,White,Self employed,4/28/2021 13:20:22,8 - 10 years,8 - 10 years,PhD
25-34,Philanthropy,Woman,White,Program Assistant,4/27/2021 13:49:07,2 - 4 years,2 - 4 years,College degree
55-64,Media & Digital,Woman,White,Director of Revenue Management,4/28/2021 12:08:23,31 - 40 years,31 - 40 years,Some college
25-34,Computing or Tech,Woman,White,Product Manager,4/28/2021 9:43:31,8 - 10 years,2 - 4 years,College degree
55-64,Law,Woman,White,General Counsel,4/27/2021 13:02:46,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)"
35-44,"Accounting, Banking & Finance",Woman,White,CERTIFIED PUBLIC ACCOUNTANT,4/27/2021 11:30:11,11 - 20 years,8 - 10 years,Master's degree
25-34,"Marketing, Advertising & PR",Woman,Another option not listed here or prefer not to answer,Marketing Manager,4/28/2021 23:58:18,8 - 10 years,5-7 years,Master's degree
25-34,Government and Public Administration,Woman,White,Research Specialist,4/28/2021 17:36:35,5-7 years,5-7 years,Master's degree
35-44,Insurance,Woman,White,Licensing specialist,4/27/2021 13:59:35,8 - 10 years,8 - 10 years,College degree
35-44,Government and Public Administration,Other or prefer not to answer,Another option not listed here or prefer not to answer,assistant,4/29/2021 8:12:23,21 - 30 years,5-7 years,College degree
25-34,Education (Higher Education),Woman,White,Coordinator of Women's and LGBTQ Affairs,4/28/2021 18:50:19,5-7 years,5-7 years,Master's degree
45-54,Computing or Tech,Man,White,Senior Security Expert,4/29/2021 1:59:35,21 - 30 years,21 - 30 years,Master's degree
45-54,Education (Higher Education),Woman,White,IT Support,4/27/2021 12:22:01,21 - 30 years,5-7 years,College degree
35-44,Computing or Tech,Woman,White,Business Systems Manager,4/27/2021 14:27:37,21 - 30 years,5-7 years,Master's degree
25-34,Computing or Tech,Woman,White,Senior Front-End Web Developer,4/28/2021 14:26:09,8 - 10 years,8 - 10 years,College degree
25-34,Education (Higher Education),Woman,White,Research Development Coordinator,4/27/2021 11:20:19,5-7 years,2 - 4 years,Master's degree
18-24,Insurance,Non-binary,White,Customer Service Rep,11/1/2021 19:16:16,2 - 4 years,2 - 4 years,Some college
25-34,Recruitment or HR,Woman,Asian or Asian American,Sr Program Manager,4/28/2021 16:54:40,5-7 years,2 - 4 years,College degree
25-34,"Accounting, Banking & Finance",Non-binary,White,Records Management,4/27/2021 11:13:48,5-7 years,5-7 years,College degree
35-44,Computing or Tech,Man,White,Lead Engineer,4/28/2021 17:22:35,21 - 30 years,21 - 30 years,Master's degree
45-54,Education (Higher Education),Woman,White,Program Coordinator,4/27/2021 21:40:52,11 - 20 years,8 - 10 years,Master's degree
25-34,Nonprofits,Woman,"Asian or Asian American, Hispanic, Latino, or Spanish origin",Chief Operating Officer,4/28/2021 22:06:16,11 - 20 years,8 - 10 years,Master's degree
35-44,"Accounting, Banking & Finance",Woman,White,Accountant,5/5/2021 15:08:09,11 - 20 years,5-7 years,Master's degree
35-44,Computing or Tech,Man,"Hispanic, Latino, or Spanish origin",Lead Engineer,4/30/2021 8:39:59,11 - 20 years,11 - 20 years,College degree
25-34,Nonprofits,Woman,White,Policy Coordinator ,4/29/2021 12:28:11,5-7 years,2 - 4 years,Master's degree
25-34,Education (Higher Education),Woman,White,Training Coordinator,4/28/2021 0:23:27,5-7 years,5-7 years,Master's degree
18-24,Government and Public Administration,Woman,White,Appraiser III,4/27/2021 23:44:52,21 - 30 years,5-7 years,College degree
25-34,Nonprofits,Woman,White,Office Manager,4/27/2021 12:34:39,5-7 years,2 - 4 years,College degree
25-34,Computing or Tech,Woman,White,Internal Consultant,5/28/2021 21:44:53,1 year or less,1 year or less,PhD
35-44,Education (Higher Education),Woman,White,Graphic Designer,4/27/2021 13:37:32,11 - 20 years,11 - 20 years,College degree
25-34,Agriculture or Forestry,Woman,"Hispanic, Latino, or Spanish origin",Accounting Specialist/Human Resource Coordinator,4/29/2021 9:51:35,11 - 20 years,8 - 10 years,College degree
25-34,Sales,Man,White,Territory Manager,4/27/2021 11:59:26,5-7 years,2 - 4 years,College degree
18-24,Computing or Tech,Woman,White,Software implementation consultant,4/28/2021 13:01:38,2 - 4 years,2 - 4 years,College degree
25-34,"Marketing, Advertising & PR",Woman,"Black or African American, White",Director of Ecommerce,5/1/2021 17:28:04,8 - 10 years,2 - 4 years,College degree
45-54,Nonprofits,Woman,White,Rabbi,4/28/2021 7:31:03,21 - 30 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
25-34,Health care,Man,White,Program Coordinator,4/28/2021 10:55:29,2 - 4 years,2 - 4 years,Master's degree
35-44,Business or Consulting,Man,White,Project Manager,4/28/2021 17:29:27,11 - 20 years,11 - 20 years,Master's degree
25-34,Education (Higher Education),Woman,"Asian or Asian American, White",Full-Time Instructor,4/27/2021 12:40:48,8 - 10 years,8 - 10 years,Master's degree
35-44,Government and Public Administration,Woman,White,Software engineer,4/30/2021 17:57:12,8 - 10 years,2 - 4 years,PhD
25-34,Education (Primary/Secondary),Woman,White,Paraprofessional,4/28/2021 12:42:19,8 - 10 years,8 - 10 years,College degree
35-44,Non profit theater,Woman,White,Director of Development ,4/27/2021 22:30:21,11 - 20 years,41 years or more,Master's degree
45-54,Education (Primary/Secondary),Woman,White,Office Manager,4/27/2021 11:47:04,11 - 20 years,11 - 20 years,College degree
55-64,Public Library,Woman,White,Patron Services Staff,4/29/2021 2:34:53,11 - 20 years,2 - 4 years,Master's degree
25-34,Health care,Woman,White,Director of Analytics,4/28/2021 1:20:21,8 - 10 years,8 - 10 years,Master's degree
18-24,Recruitment or HR,Woman,White,Human Resources Manager,4/29/2021 23:33:46,2 - 4 years,2 - 4 years,College degree
25-34,Health care,Woman,Asian or Asian American,Emergency Veterinarian,10/26/2021 16:53:27,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
25-34,Computing or Tech,Woman,White,Recruiter,4/28/2021 20:06:56,11 - 20 years,5-7 years,College degree
45-54,Property or Construction,Woman,White,Senior Project Manager,4/27/2021 14:23:12,11 - 20 years,11 - 20 years,Master's degree
35-44,Education (Higher Education),Woman,White,Assistant Librarian,4/27/2021 12:34:03,5-7 years,2 - 4 years,PhD
45-54,Government and Public Administration,Woman,Asian or Asian American,State government lawyer,4/27/2021 15:34:11,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)"
25-34,Transport or Logistics,Woman,White,North American Service Quality Manager,4/27/2021 11:18:27,8 - 10 years,5-7 years,College degree
25-34,Media & Digital,Woman,Black or African American,Social media and digital manager ,6/6/2022 21:01:19,2 - 4 years,1 year or less,Some college
35-44,Engineering or Manufacturing,Woman,White,Senior Field Application Engineer,4/27/2021 12:00:16,11 - 20 years,11 - 20 years,College degree
35-44,Health care,Woman,White,Improvement Consultant ,5/1/2021 15:03:53,11 - 20 years,11 - 20 years,Master's degree
45-54,Computing or Tech,Woman,White,Sr QA Analyst,4/28/2021 0:26:57,21 - 30 years,21 - 30 years,College degree
35-44,Insurance,Man,White,Senior Network Operations Technician,4/27/2021 20:02:03,11 - 20 years,5-7 years,College degree
45-54,Property or Construction,Woman,White,Sr. HR Generalist,4/28/2021 11:52:08,11 - 20 years,11 - 20 years,Master's degree
25-34,"Accounting, Banking & Finance",Woman,Another option not listed here or prefer not to answer,Director,4/28/2021 16:30:18,11 - 20 years,11 - 20 years,College degree
35-44,Art & Design,Woman,Asian or Asian American,Design Director,5/5/2021 18:08:40,8 - 10 years,5-7 years,College degree
35-44,Govt contractor - not direct govt but they pay my company who in turn pays me,Woman,White,FSO,4/27/2021 11:53:52,11 - 20 years,11 - 20 years,College degree
25-34,Engineering or Manufacturing,Man,White,Maintenance Team Leader,10/26/2021 15:31:32,11 - 20 years,11 - 20 years,College degree
35-44,Media & Digital,Woman,White,Copyeditor,4/27/2021 19:54:40,11 - 20 years,11 - 20 years,Master's degree
35-44,Government and Public Administration,Woman,White,Space Scientist,4/27/2021 15:20:49,11 - 20 years,11 - 20 years,PhD
35-44,Education (Higher Education),Woman,White,Assistant Professor,4/27/2021 11:24:07,11 - 20 years,11 - 20 years,PhD
45-54,Law,Woman,White,Commercial Counsel,4/29/2021 10:04:17,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,Insurance,Woman,Native American or Alaska Native,Account executive ,4/30/2021 23:21:57,11 - 20 years,8 - 10 years,Some college
25-34,Retail,Woman,White,Business Analyst ,5/8/2021 12:41:38,5-7 years,5-7 years,College degree
45-54,Computing or Tech,Man,White,Helpdesk Manager,4/30/2021 23:55:40,21 - 30 years,11 - 20 years,Master's degree
35-44,Engineering or Manufacturing,Man,White,Production Coordinator,4/29/2021 1:26:51,11 - 20 years,2 - 4 years,College degree
25-34,Engineering or Manufacturing,Woman,White,Civil Engineer (EIT),4/28/2021 16:26:21,2 - 4 years,2 - 4 years,College degree
25-34,Art & Design,Woman,"Asian or Asian American, Hispanic, Latino, or Spanish origin, Native American or Alaska Native, White",Graphic Designer (print),4/27/2021 16:01:39,5-7 years,5-7 years,College degree
45-54,Insurance,Woman,White,Benefits Consultant,4/27/2021 12:15:18,31 - 40 years,21 - 30 years,College degree
35-44,Nonprofits,Woman,White,Development Associate,4/30/2021 22:31:56,8 - 10 years,5-7 years,Master's degree
35-44,Computing or Tech,Man,White,Software Verification & Validation Specialist,5/4/2021 15:58:49,11 - 20 years,11 - 20 years,College degree
25-34,"Marketing, Advertising & PR",Woman,White,Engagement Strategist,4/30/2021 13:05:34,8 - 10 years,2 - 4 years,College degree
45-54,Health care,Woman,Black or African American,Senior Donation Coordinator ,8/16/2021 7:41:29,11 - 20 years,5-7 years,Master's degree
25-34,Computing or Tech,Man,White,Software Engineer II,5/15/2021 9:39:32,2 - 4 years,2 - 4 years,College degree
35-44,Government and Public Administration,Woman,White,Collection Development Librarian,4/27/2021 11:34:39,11 - 20 years,8 - 10 years,College degree
35-44,Education (Higher Education),Woman,White,Manager,4/27/2021 14:15:05,11 - 20 years,11 - 20 years,Master's degree
45-54,Government and Public Administration,Woman,White,Editor,4/29/2021 19:47:05,31 - 40 years,5-7 years,College degree
35-44,Transport or Logistics,Woman,White,Supply Chain Coordinator,4/28/2021 12:11:38,11 - 20 years,2 - 4 years,College degree
25-34,Computing or Tech,Non-binary,Another option not listed here or prefer not to answer,DevOps Engineer,4/27/2021 11:44:53,5-7 years,5-7 years,Some college
35-44,Education (Primary/Secondary),Woman,White,"Manager, Budget & Accounting",4/28/2021 1:03:14,11 - 20 years,11 - 20 years,Master's degree
25-34,Library,Woman,White,Digitization Archivist,4/27/2021 11:30:46,11 - 20 years,8 - 10 years,Master's degree
35-44,Nonprofits,Woman,White,Director,4/27/2021 11:10:31,11 - 20 years,11 - 20 years,Master's degree
45-54,Government and Public Administration,Woman,White,Head Librarian,4/27/2021 12:25:09,11 - 20 years,5-7 years,Master's degree
35-44,Computing or Tech,Man,White,Director of IT,4/27/2021 11:43:23,21 - 30 years,11 - 20 years,Some college
25-34,Engineering or Manufacturing,Woman,White,Staff Engineer,4/27/2021 17:43:20,8 - 10 years,8 - 10 years,College degree
25-34,Government and Public Administration,Woman,White,Librarian,4/27/2021 16:31:58,11 - 20 years,11 - 20 years,College degree
25-34,"Accounting, Banking & Finance",Woman,Black or African American,Teller,4/28/2021 22:31:28,8 - 10 years,2 - 4 years,High School
25-34,Health care,Woman,White,Human Resources,4/27/2021 16:13:04,5-7 years,2 - 4 years,Master's degree
25-34,"Marketing, Advertising & PR",Woman,White,Social Media Manager,4/27/2021 11:38:57,8 - 10 years,5-7 years,College degree
45-54,Business or Consulting,Woman,White,Senior expert,4/28/2021 8:18:52,21 - 30 years,11 - 20 years,Master's degree
25-34,Law,Woman,White,Associate Attorney,4/28/2021 10:08:03,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
25-34,Computing or Tech,Man,"Hispanic, Latino, or Spanish origin",Service Desk Analyst,4/28/2021 21:46:49,5-7 years,5-7 years,College degree
45-54,"Marketing, Advertising & PR",Woman,White,Marketing Director,4/29/2021 10:52:56,21 - 30 years,11 - 20 years,College degree
25-34,Business Process Outsourcing ,Woman,White,Onboarding Coordinator,4/27/2021 23:02:15,2 - 4 years,2 - 4 years,Master's degree
25-34,Engineering or Manufacturing,Man,Asian or Asian American,Civil Engineer,4/28/2021 16:13:56,5-7 years,2 - 4 years,Master's degree
45-54,Nonprofits,Woman,White,Senior Analyst,4/27/2021 12:09:02,11 - 20 years,11 - 20 years,Master's degree
25-34,"Accounting, Banking & Finance",Woman,White,Finance Manager,4/27/2021 11:05:24,5-7 years,5-7 years,Master's degree
25-34,"Accounting, Banking & Finance",Woman,White,HR Manager,4/29/2021 8:31:14,11 - 20 years,8 - 10 years,College degree
18-24,"Accounting, Banking & Finance",Woman,White,Risk Officer,4/27/2021 13:59:09,2 - 4 years,2 - 4 years,College degree
35-44,Computing or Tech,Woman,White,Cybersecurity Program Coordinator,5/3/2021 17:52:00,11 - 20 years,11 - 20 years,College degree
